jato_make,jato_model,carexpert_make,carexpert_model,url,match_status
"ALPINA","B3","bmw-alpina","b3","https://www.carexpert.com.au/bmw-alpina/b3","MATCHED"
"ALPINA","B4","bmw-alpina","b4","https://www.carexpert.com.au/bmw-alpina/b4","MATCHED"
"ALPINA","XB7","","","","UNMATCHED"
"Abarth","500","abarth","500e","https://www.carexpert.com.au/abarth/500e","MATCHED"
"Abarth","695","abarth","695","https://www.carexpert.com.au/abarth/695","MATCHED"
"Alfa Romeo","Giulia","alfa-romeo","giulia","https://www.carexpert.com.au/alfa-romeo/giulia","MATCHED"
"Alfa Romeo","Junior","alfa-romeo","junior","https://www.carexpert.com.au/alfa-romeo/junior","MATCHED"
"Alfa Romeo","Stelvio","alfa-romeo","stelvio","https://www.carexpert.com.au/alfa-romeo/stelvio","MATCHED"
"Alfa Romeo","Tonale","alfa-romeo","tonale","https://www.carexpert.com.au/alfa-romeo/tonale","MATCHED"
"Asiastar","Eurise D11","","","","UNMATCHED"
"Aston Martin","DB11","aston-martin","db11","https://www.carexpert.com.au/aston-martin/db11","MATCHED"
"Aston Martin","DB12","aston-martin","db12","https://www.carexpert.com.au/aston-martin/db12","MATCHED"
"Aston Martin","DBS","aston-martin","dbs","https://www.carexpert.com.au/aston-martin/dbs","MATCHED"
"Aston Martin","DBX","aston-martin","dbx","https://www.carexpert.com.au/aston-martin/dbx","MATCHED"
"Aston Martin","Vanquish","aston-martin","vanquish","https://www.carexpert.com.au/aston-martin/vanquish","MATCHED"
"Aston Martin","Vantage","aston-martin","vantage","https://www.carexpert.com.au/aston-martin/vantage","MATCHED"
"Audi","A1","audi","a1","https://www.carexpert.com.au/audi/a1","MATCHED"
"Audi","A3","audi","a3","https://www.carexpert.com.au/audi/a3","MATCHED"
"Audi","A5","audi","a5","https://www.carexpert.com.au/audi/a5","MATCHED"
"Audi","A6","audi","a6","https://www.carexpert.com.au/audi/a6","MATCHED"
"Audi","E-Tron GT","audi","e-tron-gt","https://www.carexpert.com.au/audi/e-tron-gt","MATCHED"
"Audi","Q2","audi","q2","https://www.carexpert.com.au/audi/q2","MATCHED"
"Audi","Q3","audi","q3","https://www.carexpert.com.au/audi/q3","MATCHED"
"Audi","Q3 Sportback","audi","q3","https://www.carexpert.com.au/audi/q3","MATCHED"
"Audi","Q4 E-Tron","audi","q4-e-tron","https://www.carexpert.com.au/audi/q4-e-tron","MATCHED"
"Audi","Q4 Sportback E-Tron","audi","q4-e-tron","https://www.carexpert.com.au/audi/q4-e-tron","MATCHED"
"Audi","Q5","audi","q5","https://www.carexpert.com.au/audi/q5","MATCHED"
"Audi","Q5 Sportback","audi","q5","https://www.carexpert.com.au/audi/q5","MATCHED"
"Audi","Q6 E-Tron","audi","q6-e-tron","https://www.carexpert.com.au/audi/q6-e-tron","MATCHED"
"Audi","Q7","audi","q7","https://www.carexpert.com.au/audi/q7","MATCHED"
"Audi","Q8","audi","q8","https://www.carexpert.com.au/audi/q8","MATCHED"
"Audi","Q8 E-Tron","audi","q8-e-tron","https://www.carexpert.com.au/audi/q8-e-tron","MATCHED"
"Audi","Q8 Sportback E-Tron","audi","q8","https://www.carexpert.com.au/audi/q8","MATCHED"
"Audi","RS3","audi","rs3","https://www.carexpert.com.au/audi/rs3","MATCHED"
"Audi","RS6","audi","rs6","https://www.carexpert.com.au/audi/rs6","MATCHED"
"Audi","RS7","audi","rs7","https://www.carexpert.com.au/audi/rs7","MATCHED"
"Audi","S3","audi","s3","https://www.carexpert.com.au/audi/s3","MATCHED"
"Audi","S5","audi","s5","https://www.carexpert.com.au/audi/s5","MATCHED"
"Audi","SQ2","audi","sq2","https://www.carexpert.com.au/audi/sq2","MATCHED"
"Audi","SQ5","audi","sq5","https://www.carexpert.com.au/audi/sq5","MATCHED"
"Audi","SQ5 Sportback","audi","sq5","https://www.carexpert.com.au/audi/sq5","MATCHED"
"Audi","SQ7","audi","sq7","https://www.carexpert.com.au/audi/sq7","MATCHED"
"Audi","SQ8","audi","sq8","https://www.carexpert.com.au/audi/sq8","MATCHED"
"Audi","SQ8 E-Tron","audi","sq8-e-tron","https://www.carexpert.com.au/audi/sq8-e-tron","MATCHED"
"Audi","SQ8 Sportback E-Tron","audi","sq8","https://www.carexpert.com.au/audi/sq8","MATCHED"
"BMW","1 Series","bmw","1","https://www.carexpert.com.au/bmw/1","MATCHED"
"BMW","2 Series Coupe","bmw","2","https://www.carexpert.com.au/bmw/2","MATCHED"
"BMW","2 Series Gran Coupe","bmw","2","https://www.carexpert.com.au/bmw/2","MATCHED"
"BMW","3 Series","bmw","3","https://www.carexpert.com.au/bmw/3","MATCHED"
"BMW","3 Series Sedan","bmw","3","https://www.carexpert.com.au/bmw/3","MATCHED"
"BMW","3 Series Touring","bmw","3","https://www.carexpert.com.au/bmw/3","MATCHED"
"BMW","4 Series Convertible","bmw","4","https://www.carexpert.com.au/bmw/4","MATCHED"
"BMW","4 Series Coupe","bmw","4","https://www.carexpert.com.au/bmw/4","MATCHED"
"BMW","4 Series Gran Coupe","bmw","4","https://www.carexpert.com.au/bmw/4","MATCHED"
