Make Model,Sales volume
Ford Ranger 4X4,"35,097"
Toyota RAV4,"32,564"
Toyota Hilux 4X4,"30,203"
Toyota Prado,"19,955"
Ford Everest,"16,922"
Mazda CX-5,"15,304"
Hyundai Kona,"15,127"
Mitsubishi Outlander,"15,043"
Isuzu Ute D-Max 4X4,"14,733"
MG ZS,"14,419"
Kia Sportage,"13,675"
Hyundai Tucson,"13,526"
Toyota Corolla,"13,145"
BYD Shark 6,"12,918"
GWM Haval Jolion,"12,278"
Chery Tiggo 4 Pro,"11,841"
Nissan X-Trail,"10,815"
Mitsubishi Triton 4X4,"10,799"
Mazda CX-3,"10,783"
Isuzu Ute MU-X,"10,362"
Subaru Forester,"9,753"
GWM Haval H6,"9,224"
Mazda CX-30,"8,434"
Toyota Corolla Cross,"8,090"
Mitsubishi ASX,"8,075"
Mazda BT-50 4X4,"8,011"
Toyota Landcruiser Wagon,"7,722"
Toyota Yaris Cross,"7,616"
Subaru Crosstrek,"7,528"
Hyundai i30,"7,447"
Kia Carnival,"7,312"
Mazda3,"7,191"
Toyota Landcruiser PU/CC,"7,091"
Toyota Hiace Van,"6,953"
BYD Sealion 7,"6,596"
Toyota Camry,"6,585"
Kia Sorento,"6,396"
MG MG3,"6,188"
Kia Seltos,"6,128"
BYD Sealion 6,"6,050"
Toyota Kluger,"6,040"
Subaru Outback,"5,851"
Toyota Hilux 4X2,"5,563"
Nissan Navara 4X4,"5,396"
Hyundai Venue,"5,260"
Suzuki Jimny,"5,237"
Kia Picanto,"4,991"
Nissan Patrol Wagon,"4,684"
Isuzu N-Series (LD),"4,545"
Hyundai Santa Fe,"4,380"
GWM Cannon 4X4,"4,350"
Kia Stonic,"4,275"
Lexus NX,"4,074"
Isuzu Ute D-Max 4X2,"3,997"
Honda CR-V,"3,961"
Volkswagen Amarok 4X4,"3,928"
Kia K4,"3,855"
Mitsubishi Pajero Sport,"3,758"
Mitsubishi Eclipse Cross,"3,745"
Volkswagen T-Roc,"3,677"
Mazda CX-60,"3,616"
Kia EV5,"3,594"
Ford Mustang,"3,571"
Chery C5/E5 & Omoda 5,"3,516"
BMW X1,"3,508"
Nissan Qashqai,"3,407"
Honda HR-V,"3,272"
GWM Tank 300,"3,271"
LDV T60/T60 MAX 4X4,"3,218"
BMW X3,"3,189"
Chery Tiggo 7 Pro,"3,154"
Toyota Hiace Commuter,"2,969"
Mazda2,"2,964"
Mercedes-Benz GLC-Class Wagon,"2,746"
Geely EX5,"2,736"
BYD Atto 3,"2,724"
Land Rover Defender,"2,692"
Mazda CX-80,"2,660"
Volkswagen Tiguan Allspace,"2,623"
Mercedes-Benz Sprinter,"2,619"
MG HS,"2,564"
Honda ZR-V,"2,550"
MG MG4,"2,533"
Suzuki Swift,"2,517"
BYD Seal,"2,505"
BMW X5,"2,491"
Audi Q3,"2,456"
Volkswagen Tiguan,"2,424"
Mercedes-Benz GLA-Class,"2,357"
Toyota Fortuner,"2,353"
Isuzu N-Series (MD),"2,314"
Toyota C-HR,"2,274"
Volkswagen Golf,"2,225"
LDV D90,"2,199"
Kenworth,"2,181"
Ford Transit Custom,"2,160"
Mazda BT-50 4X2,"2,104"
Ford Ranger 4X2,"2,086"
GWM Ute 4X4,"2,073"
Chery Tiggo 8 Pro,"2,066"
BYD Dolphin,"2,046"
Audi Q5,"2,040"
Toyota Yaris,"2,034"
Hyundai Staria Load,"1,959"
RAM 1500,"1,877"
Porsche Macan,"1,796"
Volvo XC40,"1,771"
Kia EV3,"1,699"
LDV Deliver 9 / eDeliver 9,"1,659"
Suzuki Vitara,"1,609"
Kia Tasman 4X4,"1,609"
Land Rover Range Rover Sport,"1,591"
Hino (MD),"1,576"
GWM Cannon Alpha,"1,549"
MINI Countryman,"1,527"
MINI Cooper,"1,525"
Isuzu (HD),"1,524"
MG MG5,"1,514"
Volvo Truck (HD),"1,512"
Lexus LBX,"1,512"
BMW X2,"1,512"
Mitsubishi Triton 4X2,"1,493"
Chevrolet Silverado,"1,480"
KGM Ssangyong Musso/MusXLV 4X4,"1,446"
Subaru WRX,"1,425"
Lexus RX,"1,410"
Hyundai Palisade,"1,382"
Renault Master,"1,350"
Audi A3,"1,332"
Mercedes-Benz A-Class,"1,329"
Omoda Jaecoo J7,"1,297"
LDV G10/G10+,"1,253"
Ford Transit Heavy,"1,235"
Fuso Canter (LD),"1,219"
Mercedes-Benz GLE-Class Wagon,"1,216"
Volvo XC60,"1,198"
BMW 1 Series,"1,173"
BMW 3 Series,"1,167"
JAC T9 4X4,"1,146"
Subaru Impreza,"1,143"
Kia Cerato,"1,094"
Mercedes-Benz GLC-Class Coupe,"1,092"
Volkswagen T-Cross,"1,067"
KGM Ssangyong Rexton,"1,044"
GWM Tank 500,"1,021"
CUPRA Formentor,"1,013"
Mercedes-Benz C-Class,997
Audi Q7,986
Fiat Ducato,966
Hyundai i20,945
Chevrolet Silverado HD,929
Hino (LD),894
Volvo EX30,869
Skoda Kodiaq,861
Mazda6,820
Lexus UX,798
MG S5,798
LDV Deliver 7 / eDeliver7,780
Genesis GV70,779
Hyundai Staria,776
BMW 2 Series Coupe/Conv,760
Mercedes-Benz EQE SUV,760
Lexus GX,752
Scania (HD),745
BMW X7,709
Mercedes-Benz GLB-Class,691
BMW i4,680
Renault Koleos,676
Audi Q4 e-tron,660
Porsche Cayenne Coupe,654
Lexus ES,644
Mercedes-Benz CLE-Class,639
Suzuki Ignis,632
Mercedes-Benz EQA,630
Skoda Kamiq,619
Audi Q2,618
Jeep Grand Cherokee,597
Toyota bZ4X,596
Iveco C/C (LD),593
Volkswagen Touareg,585
Renault Trafic,582
Fuso Fighter (MD),582
Volkswagen Caddy Cargo Van,581
Volkswagen Polo,578
Mercedes (HD),575
Mazda MX5,565
Nissan Pathfinder,565
Toyota Tundra,564
Mercedes-Benz EQB,561
Honda Civic,553
Volkswagen ID.4,552
Ford F150,548
Subaru BRZ,539
Zeekr X,527
Toyota GR86 / 86,526
Ford Tourneo,521
Nissan Juke,520
Fuso F-Series (HD),515
BMW X6,514
Hyundai Ioniq 5,502
Mazda CX-90,493
Skoda Octavia,487
Volvo XC90,484
MINI Aceman,483
Toyota Coaster,481
MG QS,475
Hino (HD),468
Mack (HD),466
